                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8014,                 2.4478,                 1.5071,                0.17846,                0.20173,                0.09885,                0.03953,                 2.1298,                 3.3629,                 1.7377,             0.00065993,             0.00065993,             0.00065993
                      2,                 1.9072,                  2.162,                 1.5816,                0.20979,                0.26966,                0.14374,                 0.0524,                 2.2857,                 2.4469,                 1.8136,              0.0013135,              0.0013135,              0.0013135
                      3,                 1.8924,                  2.044,                  1.566,                0.08127,                0.23878,                0.04571,                0.01784,                 2.1062,                 2.7802,                 1.7222,              0.0019538,              0.0019538,              0.0019538
                      4,                 1.8719,                 1.9814,                 1.5303,                0.29547,                 0.3063,                0.22492,                0.09587,                 2.0434,                 2.2178,                 1.6415,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8567,                 1.9374,                 1.5269,                0.32567,                0.33718,                0.25225,                0.10718,                 1.9454,                 2.1108,                 1.5426,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7919,                 1.8665,                 1.4956,                0.33793,                0.30342,                0.26137,                 0.1325,                  1.889,                 1.9042,                 1.4995,               0.001901,               0.001901,               0.001901
                      7,                 1.7804,                 1.8479,                 1.4918,                 0.4178,                0.38493,                0.34502,                0.16222,                 1.8415,                 1.9451,                 1.5048,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.742,                 1.8089,                 1.4625,                0.34065,                0.37258,                 0.2877,                 0.1481,                 1.7693,                 1.7582,                 1.4531,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7349,                  1.799,                  1.452,                0.38108,                0.35792,                0.31234,                0.15797,                 1.7869,                  1.925,                 1.4296,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6998,                 1.7574,                 1.4259,                0.42509,                0.38123,                0.35242,                0.18771,                 1.7494,                 1.7406,                 1.4133,              0.0018218,              0.0018218,              0.0018218
