                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9188,                  2.865,                  1.664,                0.11886,                0.19967,                0.06786,                0.02614,                 2.2088,                 3.5701,                 1.9561,             0.00065993,             0.00065993,             0.00065993
                      2,                 1.9603,                 2.4298,                 1.6503,                0.19322,                0.27336,                0.12812,                0.04761,                 2.1542,                 2.9665,                 2.0394,              0.0013135,              0.0013135,              0.0013135
                      3,                 1.9776,                  2.319,                 1.6717,                0.17799,                0.26306,                0.10985,                0.03947,                  2.293,                 3.3775,                 2.0627,              0.0019538,              0.0019538,              0.0019538
                      4,                 1.9639,                 2.1582,                 1.6494,                0.25215,                0.22643,                0.16918,                0.07387,                 2.1799,                 2.3597,                 1.8464,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9457,                 2.1246,                 1.6452,                0.24469,                0.22067,                0.16457,                0.07734,                 2.1005,                 2.3953,                 1.7682,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8748,                 2.0327,                 1.6185,                0.29839,                0.30877,                0.22636,                0.10158,                 1.9974,                 2.0823,                 1.6578,               0.001901,               0.001901,               0.001901
                      7,                 1.8448,                  1.976,                 1.5739,                0.35638,                  0.324,                0.28471,                0.13972,                 1.9421,                 2.0114,                 1.6268,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.8082,                 1.9585,                 1.5662,                0.34391,                 0.3487,                0.27371,                0.12319,                 1.9157,                 2.0333,                 1.6324,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7923,                 1.9385,                 1.5633,                0.38014,                0.38411,                0.32471,                0.15729,                 1.8604,                 1.9105,                  1.563,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7494,                 1.8853,                 1.5259,                0.40007,                0.31737,                0.31222,                0.15767,                 1.8433,                 1.8596,                 1.5838,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7433,                 1.8575,                 1.5409,                0.37776,                0.36805,                0.31263,                0.16064,                 1.8154,                 1.8322,                 1.5645,               0.001802,               0.001802,               0.001802
                     12,                 1.7403,                 1.8381,                 1.5161,                0.40282,                0.36888,                0.33801,                0.16075,                 1.8582,                 1.8925,                 1.5592,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7148,                 1.8208,                 1.5093,                0.32911,                0.33841,                 0.2734,                0.13048,                  1.828,                 1.9556,                 1.5593,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7175,                 1.8314,                 1.5278,                0.42123,                 0.3627,                0.33779,                 0.1828,                 1.7281,                 1.7821,                 1.4988,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6878,                 1.7698,                 1.4891,                0.42281,                0.40016,                0.36901,                0.17552,                 1.7706,                 1.8763,                  1.546,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6907,                 1.7935,                 1.4967,                0.40224,                0.31494,                0.30091,                0.15011,                 1.9044,                 1.9323,                 1.6606,               0.001703,               0.001703,               0.001703
                     17,                 1.6766,                 1.7535,                 1.4692,                0.44261,                0.39728,                0.38213,                0.20402,                 1.7204,                 1.6687,                 1.4874,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6797,                 1.7577,                 1.4805,                0.45598,                0.40387,                0.37576,                0.19051,                 1.7667,                 1.6878,                 1.5124,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6398,                 1.7614,                 1.4795,                0.44004,                0.40732,                0.37262,                0.19461,                 1.7614,                 1.6826,                 1.4995,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6408,                 1.7072,                 1.4616,                0.43346,                0.42019,                0.38312,                0.19877,                 1.7196,                 1.6439,                 1.4645,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6259,                  1.704,                  1.451,                0.45323,                 0.4191,                0.38665,                0.19628,                 1.7259,                 1.7061,                 1.4814,               0.001604,               0.001604,               0.001604
                     22,                  1.626,                   1.72,                 1.4691,                0.43157,                0.41499,                0.38611,                0.21047,                 1.6908,                 1.6147,                 1.4655,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6498,                 1.6986,                 1.4727,                0.44498,                0.41252,                0.39153,                0.20261,                 1.7769,                 1.6581,                 1.4983,              0.0015644,              0.0015644,              0.0015644
                     24,                  1.629,                 1.6974,                  1.452,                0.43139,                0.40469,                0.36113,                0.18485,                 1.7553,                 1.7224,                 1.5086,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.612,                 1.6912,                 1.4432,                0.47855,                0.39852,                0.41217,                 0.2222,                 1.6848,                 1.5758,                 1.4432,              0.0015248,              0.0015248,              0.0015248
